x1,x2,x3,θs
2.5845829895786512e-5,-0.00576283078808466,-1.1347007094169093,0.1
1.99816531928733e-5,-0.006810438978993784,-1.1331546001499915,0.1001
4.347734577658752e-5,-0.00851435117195615,-1.1283125950469042,0.1002
6.912585329756728e-5,-0.013589267175759638,-1.1240924366371692,0.1003
6.614836577747618e-5,-0.009520175368324413,-1.1272723525414494,0.1004
1.890849506502414e-5,-0.007233551424892483,-1.1274813503439298,0.1005
2.0087434418152383e-5,-0.005969220517317688,-1.1292694025841135,0.1006
-3.3793731952056846e-5,-0.005143680108995778,-1.1304325381446036,0.1007
-4.901367905072841e-5,-0.0044101893202487,-1.131336979684393,0.1008
-3.721451752456011e-5,-0.0038231203788653936,-1.1317492546279748,0.1009
-5.48696299178952e-5,-0.0033427513769696345,-1.131749078266447,0.101
-2.238759175528308e-5,-0.0029445983793245606,-1.1317394171812707,0.1011
-4.502186387039652e-5,-0.0025556765156174335,-1.1317288506647685,0.1012
-1.9287513594754067e-5,-0.002234687686605217,-1.1317987885146537,0.1013
6.651742987242506e-6,-0.001935590945780846,-1.1312458352967303,0.1014
7.735424004038432e-6,-0.0016571678226759304,-1.1308927757684883,0.1015
-1.6135786654232033e-5,-0.0013669914375562665,-1.1307383192975047,0.1016
3.3052592058529207e-6,-0.0011299997214594664,-1.1206928261793827,0.1017
-6.143468982143176e-5,-0.0010859510590816713,-1.1313078118970732,0.1018
-4.950753646688441e-5,-0.0008917689456280688,-1.1304486389106816,0.1019
-4.621456434310053e-5,-0.0005926553525220016,-1.1313410031610383,0.102
5.750191016463906e-6,-0.0003643466625453832,-1.1305389779619062,0.1021
-2.2674903025989413e-6,-0.00018395430734881213,-1.1289414831932214,0.1022
1.296249881319705e-6,-0.0001167617461189975,-1.1243497263096642,0.1023
7.43710269987156e-5,-0.0005053111475381783,-1.126989501778469,0.1024
7.278337040068919e-5,-0.0011238249969649148,-1.1251808600580355,0.1025
6.009232524708507e-5,-0.002342321696869834,-1.1247896543023579,0.1026
5.39744769079847e-5,-0.0034060587346961824,-1.1220573703192762,0.1027
5.00292643416398e-5,-0.0013887720699154503,-1.121622647965501,0.1028
4.793818944575388e-5,-0.0005725225409749701,-1.126611106078263,0.1029
4.432516874662499e-5,-4.250493998106588e-5,-1.1260723501049388,0.103
3.086772149787613e-5,-0.0020511578252123243,-1.1225424262901447,0.1031
